Set -1 Set 1 Energy Cut Size
[2, 4, 5, 7, 8, 9, 11, 14, 17, 18, 20, 23, 24, 25, 26, 27, 28, 29, 31, 34, 35, 36, 38, 39, 40, 43, 44, 46, 47, 49], [0, 1, 3, 6, 10, 12, 13, 15, 16, 19, 21, 22, 30, 32, 33, 37, 41, 42, 45, 48], -243.0, 146
[2, 4, 5, 7, 9, 11, 14, 17, 18, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 38, 39, 40, 43, 46, 47, 49], [0, 1, 3, 6, 8, 10, 12, 13, 15, 16, 19, 21, 22, 32, 33, 37, 41, 42, 44, 45, 48], -237.0, 143
[0, 2, 3, 4, 5, 9, 11, 12, 15, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 36, 38, 39, 42, 43, 46, 47, 48, 49], [1, 6, 7, 8, 10, 13, 14, 19, 23, 27, 31, 32, 37, 40, 41, 44, 45], -237.0, 143
[0, 2, 3, 4, 5, 9, 11, 12, 14, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 33, 34, 35, 36, 38, 39, 42, 46, 47, 48, 49], [1, 6, 7, 8, 10, 13, 15, 19, 27, 31, 32, 37, 40, 41, 43, 44, 45], -233.0, 141
[1, 4, 6, 7, 8, 9, 13, 14, 19, 23, 25, 26, 27, 30, 32, 33, 34, 35, 37, 38, 40, 41, 42, 44, 45, 49], [0, 2, 3, 5, 10, 11, 12, 15, 16, 17, 18, 20, 21, 22, 24, 28, 29, 31, 36, 39, 43, 46, 47, 48], -231.0, 140
[1, 2, 4, 5, 7, 8, 9, 11, 13, 14, 20, 23, 24, 25, 26, 27, 28, 30, 31, 34, 35, 36, 37, 38, 39, 40, 44, 46, 47, 49], [0, 3, 6, 10, 12, 15, 16, 17, 18, 19, 21, 22, 29, 32, 33, 41, 42, 43, 45, 48], -231.0, 140
[0, 4, 6, 11, 12, 13, 16, 21, 22, 27, 28, 30, 32, 33, 34, 35, 39, 41, 42, 48, 49], [1, 2, 3, 5, 7, 8, 9, 10, 14, 15, 17, 18, 19, 20, 23, 24, 25, 26, 29, 31, 36, 37, 38, 40, 43, 44, 45, 46, 47], -229.0, 139
[1, 2, 5, 7, 8, 9, 14, 15, 23, 25, 26, 27, 31, 32, 36, 37, 38, 40, 41, 43, 44, 45, 46, 47], [0, 3, 4, 6, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24, 28, 29, 30, 33, 34, 35, 39, 42, 48, 49], -227.0, 138
[1, 2, 5, 7, 8, 9, 14, 15, 23, 25, 26, 27, 29, 31, 32, 36, 38, 40, 41, 43, 44, 46, 47, 49], [0, 3, 4, 6, 10, 11, 12, 13, 16, 17, 18, 19, 20, 21, 22, 24, 28, 30, 33, 34, 35, 37, 39, 42, 45, 48], -227.0, 138
[1, 2, 4, 5, 7, 8, 9, 11, 14, 17, 18, 20, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 43, 44, 46, 47, 49], [0, 3, 6, 10, 12, 13, 15, 16, 19, 21, 22, 29, 32, 41, 42, 45, 48], -225.0, 137
[0, 2, 3, 4, 5, 9, 11, 12, 15, 16, 17, 18, 20, 21, 22, 24, 26, 28, 29, 30, 31, 33, 34, 35, 36, 39, 42, 43, 46, 47, 48], [1, 6, 7, 8, 10, 13, 14, 19, 23, 25, 27, 32, 37, 38, 40, 41, 44, 45, 49], -221.0, 135
[1, 2, 5, 7, 8, 9, 14, 15, 18, 23, 25, 26, 27, 29, 31, 32, 36, 37, 38, 40, 41, 43, 44, 45, 46, 49], [0, 3, 4, 6, 10, 11, 12, 13, 16, 17, 19, 20, 21, 22, 24, 28, 30, 33, 34, 35, 39, 42, 47, 48], -219.0, 134
[1, 4, 7, 8, 9, 10, 14, 15, 18, 19, 23, 25, 26, 27, 31, 32, 33, 34, 36, 37, 38, 40, 41, 43, 44, 45, 47, 49], [0, 2, 3, 5, 6, 11, 12, 13, 16, 17, 20, 21, 22, 24, 28, 29, 30, 35, 39, 42, 46, 48], -219.0, 134
[1, 2, 4, 5, 7, 8, 9, 11, 13, 14, 15, 17, 18, 20, 23, 25, 26, 27, 28, 29, 31, 34, 35, 36, 38, 39, 40, 43, 46, 47, 49], [0, 3, 6, 10, 12, 16, 19, 21, 22, 24, 30, 32, 33, 37, 41, 42, 44, 45, 48], -217.0, 133
[0, 4, 5, 6, 9, 11, 12, 13, 16, 17, 18, 21, 22, 27, 28, 30, 33, 34, 35, 37, 39, 42, 46, 47, 48, 49], [1, 2, 3, 7, 8, 10, 14, 15, 19, 20, 23, 24, 25, 26, 29, 31, 32, 36, 38, 40, 41, 43, 44, 45], -211.0, 130
[1, 2, 4, 5, 7, 8, 9, 11, 14, 17, 18, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31, 34, 36, 38, 39, 40, 43, 44, 46, 47, 49], [0, 3, 6, 10, 12, 13, 15, 16, 19, 21, 28, 32, 33, 35, 37, 41, 42, 45, 48], -209.0, 129
[0, 2, 4, 5, 9, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 31, 34, 35, 36, 39, 46, 47], [1, 3, 6, 7, 8, 10, 13, 19, 25, 32, 33, 37, 38, 40, 41, 42, 43, 44, 45, 48, 49], -209.0, 129
[1, 4, 6, 7, 8, 9, 13, 14, 19, 21, 23, 25, 27, 28, 30, 32, 33, 34, 35, 37, 38, 40, 41, 42, 45, 49], [0, 2, 3, 5, 10, 11, 12, 15, 16, 17, 18, 20, 22, 24, 26, 29, 31, 36, 39, 43, 44, 46, 47, 48], -207.0, 128
[1, 4, 5, 7, 8, 9, 11, 14, 15, 18, 23, 24, 25, 26, 27, 29, 30, 31, 36, 37, 38, 40, 41, 43, 44, 46, 47, 49], [0, 2, 3, 6, 10, 12, 13, 16, 17, 19, 20, 21, 22, 28, 32, 33, 34, 35, 39, 42, 45, 48], -207.0, 128
[1, 2, 4, 5, 7, 8, 9, 11, 14, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 31, 34, 35, 36, 38, 39, 40, 41, 44, 46, 47, 49], [0, 3, 6, 10, 12, 13, 15, 16, 17, 21, 22, 30, 32, 33, 37, 42, 43, 45, 48], -201.0, 125
[0, 1, 4, 6, 8, 11, 12, 13, 15, 16, 19, 21, 22, 27, 29, 30, 32, 33, 34, 37, 38, 41, 42, 44, 45, 48, 49], [2, 3, 5, 7, 9, 10, 14, 17, 18, 20, 23, 24, 25, 26, 28, 31, 35, 36, 39, 40, 43, 46, 47], -197.0, 123
[2, 3, 4, 5, 7, 9, 11, 12, 13, 14, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 35, 39, 40, 41, 42, 47, 49], [0, 1, 6, 8, 10, 15, 16, 19, 32, 33, 36, 37, 38, 43, 44, 45, 46, 48], -195.0, 122
[0, 1, 6, 7, 9, 11, 12, 13, 16, 19, 21, 22, 27, 28, 30, 31, 32, 33, 34, 35, 37, 39, 41, 42, 45, 48, 49], [2, 3, 4, 5, 8, 10, 14, 15, 17, 18, 20, 23, 24, 25, 26, 29, 36, 38, 40, 43, 44, 46, 47], -189.0, 119
[4, 6, 7, 11, 12, 13, 18, 19, 21, 22, 23, 28, 30, 32, 33, 34, 35, 37, 39, 41, 42, 45, 48, 49], [0, 1, 2, 3, 5, 8, 9, 10, 14, 15, 16, 17, 20, 24, 25, 26, 27, 29, 31, 36, 38, 40, 43, 44, 46, 47], -183.0, 116
[0, 2, 3, 5, 7, 9, 11, 12, 13, 14, 15, 17, 18, 21, 22, 23, 26, 27, 28, 29, 31, 34, 35, 39, 42, 46, 47], [1, 4, 6, 8, 10, 16, 19, 20, 24, 25, 30, 32, 33, 36, 37, 38, 40, 41, 43, 44, 45, 48, 49], -173.0, 111
{0: 1, 1: 1, 2: -1, 3: 1, 4: -1, 5: -1, 6: 1, 7: -1, 8: -1, 9: -1, 10: 1, 11: -1, 12: 1, 13: 1, 14: -1, 15: 1, 16: 1, 17: -1, 18: -1, 19: 1, 20: -1, 21: 1, 22: 1, 23: -1, 24: -1, 25: -1, 26: -1, 27: -1, 28: -1, 29: -1, 30: 1, 31: -1, 32: 1, 33: 1, 34: -1, 35: -1, 36: -1, 37: 1, 38: -1, 39: -1, 40: -1, 41: 1, 42: 1, 43: -1, 44: -1, 45: 1, 46: -1, 47: -1, 48: 1, 49: -1}
